index,_source.ping,_source.download,_source.upload
AVOpkwjNAT38Dxf03J2C,59.061,335.03,28.5
AVOpyYNAAT38Dxf03J2E,90.156,683.15,24.97
AVOq294MxpxD3bqhifq3,49.583,861.16,19.41
AVOu8y6dFX5MYoNC24n8,64.685,927.06,23.39
AVOyIaTo2ckq8NSMkime,60.793,967.44,27.96
AVOqwGEpxpxD3bqhifq1,50.865,731.85,16.93
AVOvC20lFX5MYoNC24n9,57.318,503,27.54
AVOvQl6EFX5MYoNC24n_,62.243,643.26,38.58
AVOyJ5zC2ckq8NSMkimi,54.9,721.83,58.85
AVO0n4du9V3DJQigIHTF,51.501,947.5,59.96
AVO3oJx3RtTv5l1yiikr,50.555,1045.45,55.77
AVO317imRtTv5l1yiiku,49.92,1048.97,46.92
AVO5xjaIvL-Oy8C5h1Fy,53.798,681.82,33.71
AVO9244TKswuNmerMAV8,70.449,416.23,19.59
AVPDAF2NLjzBw7Rwx1td,93.363,459.65,21.01
AVO5IOssUrgJ6PzmvRhU,51.746,442.94,9.66
AVO-Yv3SKswuNmerMAWA,89.671,807.93,6.86
AVO5PFdvUrgJ6PzmvRhV,50.24,664.14,0
AVPh6MRZD3bwrN-fcB7a,116.896,446.34,13.37
AVRm1FCidIivaTilU-ZT,52.722,1002.15,53.77
AVRn5vV6GcnKEtmAm6eK,55.826,1133.53,55.61
AVPDN1bHLjzBw7Rwx1tf,62.973,248.47,14.19
AVRoHhKHGcnKEtmAm6eP,67.315,489.46,50.82
AVPDUdbOLjzBw7Rwx1tg,58.312,572.96,21.55
AVPg7ydAgpupgmaWHdxJ,84.406,156.27,0
AVPiHMb7D3bwrN-fcB7e,57.792,431.48,0
AVRoAn2kGcnKEtmAm6eN,58.19,725.99,28.25
AVTKSP9qIIvlMi54dHsC,122.881,926.59,28.27
AVSlDt2-ues6la_EvV5C,51.366,876.73,18.46
AVS2HUs9YQzcAIYxSs0A,52.069,882.83,69.26
AVS2VE3FYQzcAIYxSs0C,52.317,672.08,75.31
AVTICDZaFvgPiaEjekoy,51.681,901.57,66.76
AVRoORzKGcnKEtmAm6eS,64.951,862.98,43.23
AVRocDw9GcnKEtmAm6eW,74.509,785.12,53.98
AVS6hpe3fGSGjTlDSC9y,71.45,346.19,32.77
AVT3PR6jzlYwYiXREuB6,55.603,737.09,52.43
AVT3WJ0TzlYwYiXREuB7,62.539,796.94,65.31
AVT3j4XlzlYwYiXREuB-,51.737,1000.52,69.61
AVT4hz3bS8MWVvzKrcm5,62.633,863.67,49.91
AVT42TWJS8MWVvzKrcm-,121.633,293.66,18.24
AVJkD_HXSrDTrXg4plDb,125.942,564.94,38.88
AVJhDlNqaMc9yvLldSLt,88.097,483.21,16.14
AVJldF3LiY43Jv3eX0hI,66.811,494.83,22.46
AVJlkI6PiY43Jv3eX0hJ,215.82,156.55,25.59
AVJl4lwWiY43Jv3eX0hM,73.518,375.37,56.86
AVJmGS17iY43Jv3eX0hO,65.741,454.42,18.02
AVJ6sn33pNeT6-VcQu3l,54.372,723.99,25.02
AVJ6zhbWpNeT6-VcQu3n,83.603,267.86,12.49
AVJl_lS8iY43Jv3eX0hN,78.342,153.81,6.25
AVJ6l8JlpNeT6-VcQu3j,143.505,289.65,23.21
AVKJ7sukUh2c4ge8064a,51.353,1135.16,64.94
AVKJZkOZUh2c4ge8064V,230.154,138.88,14.69
AVKJgMzfUh2c4ge8064W,86.024,637.93,18.19
AVKJnNxYUh2c4ge8064X,56.685,407.09,16.35
AVKeh_Mf9Nf0hOj-hf22,55.915,384.99,34.61
AVKevzdD9Nf0hOj-hf26,152.939,295.39,17.19
AVKtVqhgMGa0aydAWgI_,56.898,137.47,6.56
AVKtciPuMGa0aydAWgJB,63.935,488.1,7.56
AVJ9s68jTw8lgwptn0-s,101.82,500.32,0
AVLMPM4MMFeFjzqa1MII,101.745,332.31,16.73
AVLBcnxe8uCvMwS4XxJN,55.472,893.03,34.88
AVLMjwpGMFeFjzqa1MIL,47.087,525.66,49.47
AVLRYtyO6yywsC3U7NdE,238.527,243.52,10.09
AVKw_BH8ngG8B2OEHX-I,57.842,806.32,15.84
AVK8XGeBdrcoVnJpWK_9,310.26,223.9,5.92
AVLFzN2LZcWGU93s1WqG,90.497,502.17,19.91
AVLF6Gf9ZcWGU93s1WqH,95.428,223.64,20.72
AVLMV86NMFeFjzqa1MIJ,66.812,612.17,34.75
AVMt-ipMBs9GBwZ63mvK,114.779,349.23,0
AVMzjgMdyDF4XZypKIns,58.237,652.96,11.68
AVMlEj3YKodYmN8i_ssa,57.591,965.61,60.73
AVM0fZyprYEvN7S55jOB,65.677,368.32,0
AVMk219wKodYmN8i_ssW,111.598,501.62,13.99
AVLU7UFShtzPbUO3lZSl,56.705,680.46,73.13
AVMUTUet68sla7A6Fa03,64.361,715.53,58.37
AVMk9wnnKodYmN8i_ssY,64.993,713.67,20.5
AVMUcYad68sla7A6Fa06,61.008,390.88,24.41
AVNqfPgHv-dQ3RmIRhTD,56.511,1113.93,33.03
AVNBgL2NeKkEHGUGmz6E,51.855,708.01,28.66
AVNcN-hVPnKhxn8znTTQ,57.189,791.02,34.47
AVNsNGYbO9ixzk3ZULuh,56.341,817.83,17.78
AVM0oMcUrYEvN7S55jOH,61.017,298.32,0
AVM9u9234rOXxX_VIwEj,55.686,586.33,26.45
AVNXLLcsnpR_PNX8I6en,56.078,838.64,9.83
AVNxPy6NcQp15pmC-_hD,65.815,529.67,6.32
AVNXSIBhnpR_PNX8I6eo,58.64,881.36,0
AVN2LtGl94rhL_sXlC3E,156.457,419.64,0
AVN7HdS4gsdpRfyYG7QV,57.32,1112.03,26.07
AVOAA30AkFJNaIm13xC5,87.758,412.92,16.26
AVOFgygJv1g047L0YmAV,64.808,560.84,12.79
AVNxdlS9cQp15pmC-_hH,168.288,140.49,5.88
AVOAsa7AkFJNaIm13xDA,69.594,416.85,0
AVOAzYYTkFJNaIm13xDB,77.554,360.2,0
AVOBchPCmqdBKT6lEpe5,72.265,276.97,0
AVN2gMf994rhL_sXlC3L,79.426,636.56,8.75
AVOGD5a9l2ufvfD47IUW,238.514,455.96,19.56
AVOZKE88lc5YzlM8Mjfg,101.102,693.41,26.28
AVOtHOlWuNTDPmp7XV1f,49.134,1106.13,59.94
AVOtOJQRuNTDPmp7XV1h,48.693,1107.98,55.76
AVOoLWaag_BfZfoZ9q8X,49.302,870.19,61.54
AVOtbzwZuNTDPmp7XV1k,53.548,900.23,39.96
AVO0uuCj9V3DJQigIHTG,60.703,973.26,31.32
AVO3vBhARtTv5l1yiikt,73.371,1160.2,9.52
AVO38t3URtTv5l1yiikw,64.425,638.16,0
AVRny_EwGcnKEtmAm6eF,56.579,1228.48,34.99
AVO-K-FGKswuNmerMAV-,108.92,471.89,10.41
AVPg2JirgpupgmaWHdxA,74.422,494.43,20.43
AVRpTCz7GcnKEtmAm6ej,52.178,375.9,60.93
AVO54UfGvL-Oy8C5h1Fz,51.23,753.7,44.13
AVO-R3lIKswuNmerMAV_,62.417,977.67,12.4
AVPiAe_ID3bwrN-fcB7c,58.02,819.35,17.29
AVPiOGWwD3bwrN-fcB7f,79.115,513.44,0
AVPDiWzyLjzBw7Rwx1ti,62.93,630.12,18.58
AVTERyeLQz7Uzf_a4P-S,107.602,258.03,47.53
AVTEmZoZQz7Uzf_a4P-W,156.389,288,34.21
AVRtseZAyguOH7xPwvtI,71.323,1030.41,61.8
AVS2OQHLYQzcAIYxSs0B,52.894,885.36,58.2
AVTEfb19Qz7Uzf_a4P-V,51.818,1054.48,56.82
AVTFei2_hcTt0DQEvMSZ,64.634,331.55,7.44
AVTFkI9dhcTt0DQEvMSe,55.702,592.5,62.37
AVTEK4iHQz7Uzf_a4P-R,55.772,539.69,52.61
AVRs8csPyguOH7xPwvs9,52.36,671.33,68.09
AVTKLbBJIIvlMi54dHsB,115.951,431.98,20.15
AVTpE_zj9kdnGm4-yPqD,50.828,1022.73,66.76
AVT3IcytzlYwYiXREuB3,115.761,700.18,34.14
AVTJTMMgW-j8LECZ-yzC,56.891,891.33,32.58
AVTdRl9XZaJUgVMWwSOk,62.199,878.61,53.2
AVToxd8r9kdnGm4-yPqA,76.212,562.34,37.92
AVT4HDU4S8MWVvzKrcmw,63.466,368.62,47.53
AVTSp4t5gdb4FXxv_3YD,59.694,516.05,39.22
AVTpL2MN9kdnGm4-yPqE,96.587,582.41,55.09
AVT7zrtoOpxj9MJw0718,54.622,1181.62,65.15
AVJpUP908CSfbCopiUEc,54.689,1020.55,50.06
AVJg6O6laMc9yvLldSLr,163.666,268.69,0
AVJ5bt0FpNeT6-VcQu3N,138.343,548.89,8.83
AVJg4cEvaMc9yvLldSLq,67.674,518.7,9.08
AVJlWUWuiY43Jv3eX0hH,54.233,335.65,6.71
AVJlx1e9iY43Jv3eX0hL,252.606,119.26,18.12
AVJ6KbaHpNeT6-VcQu3c,218.966,47.55,0
AVJ4qMouK8aymfy2vNp_,70.197,700.78,23
AVJ6RWQupNeT6-VcQu3e,149.758,138.37,13.25
AVJ51q9apNeT6-VcQu3W,74.867,747.25,9.63
AVKJt-jjUh2c4ge8064Y,50.358,1119.24,58.36
AVJ-b5OtP1yJ8UJt3pCh,51.837,673.51,36.24
AVJ-c_k0P1yJ8UJt3pCi,67.859,581.86,33.48
AVJ_awuUtBdBM4YfMA04,56.599,691.21,36.61
AVJ_oh0UtBdBM4YfMA06,65.883,492.54,23.51
AVKEt7Y2FyjGwzrchve3,131.729,227.69,11.05
AVKeNd_L9Nf0hOj-hf2x,71.136,551.79,40.62
AVJ9q8utTw8lgwptn0-n,72.827,590.57,17.96
AVJ9z2iITw8lgwptn0-u,153.194,173.44,14.23
AVKonnA4JFuZefE8nwyM,304.573,146.43,22.78
AVKt39HHla0j39v5IbkM,55.659,648.85,28.14
AVK4LJ_5upTj1oWsPcqN,61.638,260.96,39.64
AVK9HCGndrcoVnJpWLAE,91.664,453.98,22.63
AVKepBEQ9Nf0hOj-hf24,53.158,407.8,41.47
AVKe20X39Nf0hOj-hf28,58.165,101.28,4.77
AVKtVlhHMGa0aydAWgI-,62.438,392.45,0
AVK4BWDxupTj1oWsPcqK,147.019,116.64,14.45
AVK8kmHjdrcoVnJpWK__,55.469,530.87,49.04
AVLRfs2Y6yywsC3U7NdG,247.925,221.3,15.81
AVLU4HOnhtzPbUO3lZSk,52.094,791.32,51.15
AVMUVZTq68sla7A6Fa05,64.902,764.38,31.98
AVMUqBJH68sla7A6Fa08,69.67,271.2,7.95
AVLRK-SO6yywsC3U7NdA,59.802,1048.33,61.98
AVLFsVXVZcWGU93s1WqF,98.043,443.44,34.14
AVLRR5uU6yywsC3U7NdC,61.992,247.56,37.31
AVLMOyOhMFeFjzqa1MIH,97.249,579.3,6.79
AVLMc3fkMFeFjzqa1MIK,63.372,464.44,48.39
AVMtypxWBs9GBwZ63mvC,65.801,1176.03,48.15
AVNcUyA9PnKhxn8znTTS,164.018,501.16,40.27
AVM0hZ8ZrYEvN7S55jOF,45.654,269.31,32.75
AVNWwDAWnpR_PNX8I6ej,68.438,784.56,18.24
AVNXmoVQnpR_PNX8I6er,75.769,518.49,18.71
AVNXtbLJnpR_PNX8I6es,54.28,664.54,24.58
AVNcHCIAPnKhxn8znTTN,56.801,934.76,8.61
AVMzc7BryDF4XZypKInn,65.51,484.45,0
AVMvQ9ViLZsCNMbDooaa,56.986,543.37,5.07
AVNmoBhw05pNF-8vrrGd,252.887,184.29,32.55
AVNqtAw5v-dQ3RmIRhTH,54.743,1166.47,42.7
AVNmhDHm05pNF-8vrrGc,53.959,948.83,36.53
AVNqQ9dIv-dQ3RmIRhS4,83.794,456.77,36.43
AVNqmE_lv-dQ3RmIRhTF,70.922,555.99,23.01
AVNv2qTZEtqQYxC7FYoq,61.572,878.1,11.24
AVNv9cuYEtqQYxC7FYos,59.922,606.63,25.4
AVNsJ3BLO9ixzk3ZULug,60.317,647.55,14.19
AVNw7Qu8cQp15pmC-_g9,62.205,479.95,0
AVN2Eyyx94rhL_sXlC26,69.949,557.38,13.55
AVN2FGVS94rhL_sXlC27,65.572,548.9,10.05
AVN2nEYy94rhL_sXlC3N,59.415,1189.01,18.82
AVN3JcwHqFR1KAJFoVGJ,63.448,982.85,23.05
AVN7OaSXgsdpRfyYG7QX,71.511,427.87,16.02
AVNxCNVUcQp15pmC-_g_,364.148,85.47,9.26
AVN2Sfxf94rhL_sXlC3H,174.21,354.44,0
AVN2ZWhA94rhL_sXlC3J,86.812,278.27,0
AVN7pxD8gsdpRfyYG7Qe,86.753,417.91,0
AVOD6fyHrzcceHKPQOcb,62.875,1024.74,53.47
AVOAlrEmkFJNaIm13xC_,84.805,203.43,16.57
AVOA6OT0kFJNaIm13xDC,215.764,180.77,0
AVOBBKhukFJNaIm13xDD,193.027,217.75,6.86
AVOBJPWxmqdBKT6lEpe2,153.652,230.84,0
AVOFho5Rv1g047L0YmAX,62.847,748.94,11.8
AVOBVth0mqdBKT6lEpe4,87.849,244.06,0
AVOEqoGNyPAVaYFl9RkB,89.931,595.29,7.79
AVOFeNJGGYKyKeuOMuOD,120.792,622.53,6.47
AVOFmrJtbOyktgH9v6FF,65.586,806.12,16.43
AVOFnRkZ8L8TTYaU6WLN,66.248,762.15,22.13
AVOYnv_Dlc5YzlM8MjfW,59.872,868.95,19.56
AVOYumHJlc5YzlM8MjfY,56.921,796.93,25.45
AVOY8Yk2lc5YzlM8Mjfc,180.736,277.71,7.05
AVOFvOvol2ufvfD47IUN,61.246,518.85,6.4
AVOfD2aFkRxG9-ZgWda4,68.085,524.25,25.98
AVOfRaXlkRxG9-ZgWda7,78.831,525.7,0
AVOe9cOMkRxG9-ZgWdaz,78.483,578.72,5.09
AVOqib1CxpxD3bqhifqy,53.228,1103.27,13.15
AVOqpPm1xpxD3bqhifq0,49.155,847.97,17.89
AVOtU7WouNTDPmp7XV1i,49.575,1046.95,33.24
AVOfYS9qkRxG9-ZgWda9,70.949,285.95,0
AVOffRkpkRxG9-ZgWda_,75.864,484.71,5.85
AVOpreRAAT38Dxf03J2D,62.402,585.06,0
AVOtioB-uNTDPmp7XV1l,52.646,990.96,20.41
AVOvJs0pFX5MYoNC24n-,60.692,636.81,32.43
AVOk2fgofb36rNi23jhB,59.04,962.16,6.11
AVO8j-bAlfWUdzQAfX11,50.364,1156.56,44.67
AVO8q0c4lfWUdzQAfX13,51.632,1132.73,45.61
AVO0MXFk9V3DJQigIHTA,56.234,757.01,44.24
AVO0MjH99V3DJQigIHTB,53.025,906.17,26.1
AVO01kIR9V3DJQigIHTH,78.889,353.63,25.43
AVO3hRWuRtTv5l1yiikp,50.427,810.76,46.15
AVO46lHgUrgJ6PzmvRhS,49.325,956.72,54.83
AVO5V66nUrgJ6PzmvRhW,49.81,681.1,35.8
AVO8fdjYlfWUdzQAfX1x,57.868,424.18,46.07
AVRnCzdHdIivaTilU-ZY,55.299,1146.83,74.68
AVRoVMpvGcnKEtmAm6eU,61.181,1101.16,62.62
AVO99O2iKswuNmerMAV9,50.774,835.89,33.75
AVO-fjY-KswuNmerMAWB,51.655,1170.9,9.17
AVPD26bGLjzBw7Rwx1tl,117.948,578.35,0
AVRoi2tAGcnKEtmAm6eY,55.253,964.41,77.12
AVPDGzF4LjzBw7Rwx1te,69.892,440.67,7.95
AVRowuIZGcnKEtmAm6eb,54.368,84.34,61.66
AVPCyRBGLjzBw7Rwx1tb,80.88,342,0
AVS6upLzfGSGjTlDSC95,100.793,242.58,18.56
AVTIP6tMFvgPiaEjeko0,250.666,126.63,34.45
AVS19KolYQzcAIYxSsz7,62.728,900.45,51.05
AVTAVkdR2_xsrz7W5v89,101.102,40.25,13.85
AVRs0XJqyguOH7xPwvs0,62.369,972.21,40.12
AVRtRJZJyguOH7xPwvtD,129.731,228.83,26.93
AVTIWtmCFvgPiaEjeko1,71.545,591.05,34.18
AVRtl7YUyguOH7xPwvtG,71.073,127.99,0
AVSlCUk_ues6la_EvV45,67.608,0,0
AVTJUcEIW-j8LECZ-yzF,58.921,1028.86,53.65
AVTJgZZaIIvlMi54dHrx,84.269,668.93,38.22
AVTKEkddIIvlMi54dHsA,91.947,317.17,14
AVTKZPacIIvlMi54dHsD,108.762,260.3,30.3
AVTSwtDlgdb4FXxv_3YE,97.753,373.66,33.72
AVTS-ekkgdb4FXxv_3YG,150.809,505.15,44.03
AVTpSt4B9kdnGm4-yPqF,127.786,313.08,49.79
AVT4olM2S8MWVvzKrcm6,53.227,761.49,52.94
AVJpMpdl8CSfbCopiUEa,104.253,416.2,58.6
AVJlRF2niY43Jv3eX0hG,93.265,429.17,34.78
