index, total_number_packets, total_bytes
172.16.112.149/205.232.134.3, 18, 756
172.16.114.207/209.25.64.103, 8, 336
172.16.113.105/204.162.96.34, 6, 252
172.16.112.194/192.111.228.12, 2, 84
202.72.1.77/172.16.112.50, 168, 11008
172.16.114.168/143.89.53.151, 2, 84
172.16.113.204/196.37.75.158, 486, 50692
172.16.114.169/205.181.112.114, 2, 84
172.16.113.84/207.159.105.132, 10, 420
194.7.248.153/172.16.112.207, 501, 51774
172.16.112.194/137.138.131.253, 10, 420
172.16.113.84/192.168.1.20, 870, 56720
172.16.113.204/209.1.112.252, 2, 84
172.16.112.149/204.71.191.226, 4, 168
172.16.115.234/167.8.29.16, 2, 84
172.16.113.84/132.60.26.15, 2, 84
172.16.115.234/205.205.225.2, 2, 84
172.16.113.204/129.53.216.5, 8, 336
172.16.116.44/192.102.198.18, 2, 84
172.16.117.52/207.25.71.145, 10, 420
172.16.112.149/166.84.59.23, 2, 84
172.16.113.204/198.5.212.11, 2, 84
172.16.113.105/195.73.151.50, 724, 74815
172.16.113.204/152.163.210.14, 4, 168
172.16.113.84/207.155.125.158, 2, 84
172.16.115.234/209.130.54.80, 4, 168
135.8.60.182/172.16.114.148, 4705, 3178174
172.16.112.207/205.177.228.202, 2, 84
172.16.112.194/131.6.187.206, 2, 84
172.16.112.149/204.153.205.97, 4, 168
194.27.251.21/172.16.114.168, 791, 82213
172.16.112.149/160.147.68.21, 2, 84
172.16.113.204/204.89.144.15, 2, 84
209.117.157.183/172.16.112.50, 171, 11250
172.16.117.132/207.33.146.20, 10, 420
172.16.112.207/207.68.156.95, 2, 84
172.16.114.207/206.28.149.16, 2, 84
172.16.113.204/12.3.191.20, 14, 588
172.16.112.149/207.155.85.24, 2, 84
172.16.115.234/199.1.13.20, 2, 84
172.16.113.84/152.163.212.59, 2, 84
172.16.116.44/205.228.184.153, 2, 84
172.16.115.234/207.87.25.48, 2, 84
172.16.115.234/208.225.124.140, 2, 84
209.12.13.144/172.16.112.50, 56, 2653
172.16.117.103/209.185.106.195, 2, 84
172.16.117.132/194.27.251.21, 186, 37128
172.16.114.168/129.53.216.5, 8, 336
172.16.117.52/204.123.2.66, 4, 168
172.16.116.194/194.7.248.153, 87, 7638
172.16.117.132/207.115.207.68, 2, 84
172.16.116.201/160.147.163.19, 6, 252
152.204.242.193/172.16.112.50, 171, 11240
172.16.113.105/196.37.75.158, 536, 54514
172.16.112.194/204.181.147.2, 4, 168
172.16.112.20/197.218.177.69, 77, 8570
172.16.112.207/209.100.145.3, 4, 168
172.16.113.204/199.94.242.15, 6, 252
172.16.113.204/38.177.105.35, 4, 168
172.16.113.84/134.205.165.120, 18, 756
196.227.33.189/192.168.1.20, 287, 20270
172.16.114.207/204.123.2.93, 4, 168
172.16.114.148/206.222.66.47, 2, 84
172.16.112.194/198.11.57.76, 2, 84
172.16.115.5/207.68.156.95, 2, 84
172.16.114.207/209.41.61.94, 2, 84
192.168.1.20/192.168.1.10, 9, 464
172.16.112.207/196.37.75.158, 524, 53661
172.16.112.207/207.25.71.145, 8, 336
172.16.114.148/195.115.218.108, 1290, 353531
172.16.113.204/195.73.151.50, 502, 54685
172.16.114.207/143.89.53.151, 2, 84
194.7.248.153/172.16.114.168, 358, 37254
172.16.114.207/167.8.29.15, 4, 168
172.16.117.52/207.46.130.14, 4, 168
172.16.114.168/209.41.61.94, 2, 84
172.16.117.132/204.62.133.193, 2, 84
172.16.112.194/209.67.25.100, 4, 168
194.27.251.21/172.16.112.207, 728, 74769
172.16.112.207/208.158.201.3, 2, 84
172.16.115.87/134.205.165.120, 8, 336
172.16.112.207/12.3.191.20, 14, 588
172.16.113.204/137.161.42.245, 2, 84
172.16.113.204/207.46.148.249, 20, 840
195.73.151.50/172.16.114.207, 206, 21510
172.16.116.201/199.35.192.185, 2, 84
135.13.216.191/172.16.113.50, 90, 10112
172.16.112.20/196.227.33.189, 291, 37595
194.27.251.21/172.16.113.50, 26, 2670
172.16.112.194/209.5.56.2, 10, 420
172.16.117.103/149.111.34.35, 2, 84
172.16.116.201/128.231.164.4, 2, 84
172.16.113.204/206.243.176.168, 2, 84
172.16.112.194/207.25.71.141, 2, 84
172.16.112.50/194.7.248.153, 2416, 115868
172.16.116.201/209.26.69.29, 2, 84
172.16.112.194/207.139.107.12, 2, 84
196.227.33.189/172.16.112.149, 600, 61945
172.16.114.50/196.227.33.189, 267, 22038
172.16.114.168/195.73.151.50, 417, 42395
172.16.114.148/192.151.52.13, 2, 84
172.16.114.207/192.254.26.2, 12, 504
172.16.115.234/209.116.214.15, 4, 168
172.16.113.204/209.1.112.251, 2, 84
153.107.252.61/172.16.112.50, 343, 22472
172.16.116.201/206.39.184.2, 4, 168
172.16.115.234/129.105.213.70, 2, 84
172.16.113.84/131.84.1.31, 18, 756
172.16.116.44/205.181.112.114, 2, 84
172.16.117.132/212.48.2.23, 2, 84
172.16.117.132/167.8.29.15, 42, 1764
172.16.116.44/209.116.214.15, 4, 168
172.16.113.204/206.135.140.28, 4, 168
172.16.117.52/167.8.29.15, 18, 756
172.16.112.194/209.133.35.167, 4, 168
172.16.114.148/194.27.251.21, 2207, 572757
172.16.115.234/205.216.163.83, 2, 84
172.16.115.234/139.72.190.26, 14, 588
172.16.116.201/198.174.169.49, 8, 336
135.13.216.191/172.16.113.204, 904, 95591
172.16.117.103/187.187.187.187, 4, 168
172.16.114.207/62.52.69.77, 2, 84
172.16.112.207/206.132.25.71, 6, 252
172.16.114.207/207.51.123.250, 4, 168
172.16.115.234/208.202.26.211, 6, 252
172.16.112.194/207.46.148.249, 4, 168
172.16.114.148/158.136.73.164, 10, 420
172.16.117.132/136.149.142.178, 4, 168
172.16.113.84/204.144.184.20, 2, 84
172.16.113.84/206.111.61.229, 2, 84
195.73.151.50/172.16.114.169, 426, 43798
172.16.112.20/196.37.75.158, 102, 10900
172.16.115.234/134.205.131.29, 2, 84
172.16.112.149/134.205.131.29, 2, 84
172.16.113.105/199.217.151.41, 4, 168
172.16.117.103/204.152.167.20, 4, 168
172.16.112.194/204.253.162.4, 2, 84
172.16.117.103/128.32.109.245, 6, 252
172.16.117.132/192.151.52.13, 12, 504
172.16.115.234/135.13.216.191, 124, 18080
172.16.117.52/136.149.142.178, 4, 168
172.16.112.207/204.152.167.20, 2, 84
172.16.112.194/136.149.142.178, 6, 252
172.16.113.84/152.163.212.173, 2, 84
172.16.114.207/204.123.2.66, 4, 168
172.16.114.148/208.147.89.71, 6, 252
172.16.112.149/192.9.24.116, 8, 336
172.16.113.105/208.3.139.230, 2, 84
172.16.114.168/144.3.144.13, 6, 252
172.16.117.103/207.25.71.145, 10, 420
172.16.117.103/209.207.5.102, 4, 168
172.16.112.149/209.1.224.15, 14, 588
172.16.113.105/195.115.218.108, 564, 58289
172.16.117.132/206.132.25.71, 2099, 965682
172.16.113.105/204.225.48.34, 2, 84
172.16.113.84/207.71.209.188, 8, 336
195.115.218.108/172.16.116.194, 160, 31153
172.16.116.201/128.63.247.128, 2, 84
172.16.115.234/204.162.243.48, 2, 84
172.16.114.148/208.21.239.3, 2, 84
172.16.116.201/208.16.88.11, 2, 84
172.16.112.207/134.205.165.120, 6, 252
172.16.116.44/209.130.54.80, 4, 168
172.16.113.204/143.89.53.151, 2, 84
172.16.112.194/209.113.183.114, 2, 84
172.16.114.207/209.1.112.252, 2, 84
172.16.116.201/208.134.241.220, 2, 84
195.73.151.50/172.16.112.207, 254, 25128
195.115.218.108/172.16.114.169, 540, 53545
172.16.114.148/207.25.71.25, 2, 84
172.16.115.234/192.102.198.18, 2, 84
172.16.112.194/195.11.138.58, 4, 168
172.16.116.201/160.111.100.65, 2, 84
172.16.116.201/205.177.228.202, 2, 84
172.16.116.44/204.162.96.34, 8, 336
172.16.116.44/152.163.210.11, 6, 252
172.16.117.132/152.163.210.11, 4, 168
172.16.116.194/207.46.148.249, 2, 84
172.16.112.194/131.84.1.31, 20, 840
172.16.112.207/205.198.116.30, 4, 168
172.16.117.111/167.8.29.15, 2, 84
172.16.117.52/207.25.71.141, 4, 168
172.16.112.194/152.163.210.11, 2, 84
172.16.117.103/207.46.130.14, 16, 672
172.16.117.52/140.90.6.254, 2, 84
172.16.117.103/209.49.75.190, 6, 252
172.16.115.5/135.8.60.182, 128, 12846
172.16.113.204/196.227.33.189, 422, 42654
197.182.91.233/172.16.112.149, 674, 87721
172.16.112.149/204.71.200.242, 2, 84
172.16.116.201/198.3.230.11, 2, 84
172.16.117.52/209.101.61.251, 4, 168
172.16.113.84/204.123.2.69, 4, 168
172.16.112.207/192.188.162.131, 2, 84
172.16.112.149/204.152.167.20, 8, 336
172.16.117.132/207.121.187.121, 2, 84
172.16.113.204/206.160.225.18, 6, 252
172.16.112.207/204.123.2.69, 4, 168
172.16.113.84/207.25.71.37, 4, 168
197.218.177.69/172.16.112.194, 1333, 236115
172.16.113.84/205.140.147.94, 6, 252
172.16.113.84/131.158.8.11, 10, 420
172.16.117.103/134.152.23.6, 2, 84
172.16.116.44/204.17.42.16, 2, 84
172.16.116.201/152.175.34.64, 22, 924
172.16.117.132/206.79.171.51, 8, 336
197.182.91.233/172.16.114.207, 805, 282742
172.16.117.103/128.32.25.12, 12, 504
172.16.117.132/207.25.71.65, 2, 84
172.16.114.207/207.25.71.145, 4, 168
172.16.113.204/207.25.71.25, 6, 252
172.16.115.87/195.115.218.108, 95, 18360
205.231.28.163/172.16.112.50, 172, 11245
172.16.115.5/204.152.167.20, 2, 84
195.115.218.108/172.16.113.50, 82, 7031
172.16.112.149/207.155.125.158, 2, 84
172.16.114.50/196.37.75.158, 318, 26195
172.16.114.207/206.28.149.8, 2, 84
172.16.117.132/38.176.11.53, 2, 84
172.16.116.201/208.237.178.21, 2, 84
172.16.116.201/205.181.211.160, 2, 84
172.16.115.87/136.149.142.178, 4, 168
172.16.117.132/209.1.206.11, 16, 672
172.16.117.103/204.62.245.75, 2, 84
172.16.113.204/205.177.58.116, 12, 504
172.16.112.207/209.44.26.58, 10, 420
172.16.114.168/143.101.250.20, 16, 672
172.16.116.44/207.46.148.249, 38, 1596
172.16.116.201/199.35.192.127, 6, 252
172.16.117.111/207.25.71.25, 12, 504
172.16.116.201/204.97.16.3, 10, 420
172.16.117.132/207.68.156.95, 4, 168
172.16.117.132/204.71.242.42, 2, 84
172.16.112.194/209.3.171.239, 4, 168
172.16.112.149/204.123.2.66, 4, 168
135.13.216.191/172.16.112.194, 658, 69727
172.16.112.207/209.67.19.98, 2, 84
172.16.114.148/187.187.187.187, 2, 84
172.16.113.204/204.146.28.55, 2, 84
172.16.112.149/38.249.212.12, 2, 84
172.16.114.207/206.71.77.228, 16, 672
196.227.33.189/172.16.114.148, 3515, 2633515
172.16.113.105/131.84.1.68, 2, 84
172.16.114.207/136.149.142.85, 2, 84
172.16.117.132/206.39.184.2, 2, 84
172.16.112.194/140.175.174.30, 8, 336
172.16.113.84/207.25.71.145, 8, 336
135.8.60.182/172.16.117.52, 135, 26476
172.16.112.20/195.115.218.108, 268, 37194
172.16.115.234/204.162.96.34, 8, 336
172.16.114.207/205.169.236.247, 6, 252
172.16.114.168/209.25.64.103, 6, 252
172.16.112.149/204.123.2.93, 4, 168
192.168.1.10/172.16.114.168, 79, 10261
172.16.116.201/205.181.112.40, 2, 84
172.16.112.149/206.111.61.229, 2, 84
172.16.113.105/204.162.80.141, 2, 84
172.16.117.52/152.163.210.14, 2, 84
172.16.117.52/152.163.210.11, 2, 84
172.16.113.105/204.71.242.42, 16, 672
172.16.112.194/209.67.183.23, 6, 252
197.182.91.233/172.16.112.194, 808, 125813
172.16.112.149/203.120.90.66, 2, 84
195.115.218.108/172.16.112.194, 415, 45788
172.16.112.20/194.7.248.153, 184, 25914
172.16.113.84/206.132.25.71, 12, 504
172.16.117.52/192.41.3.149, 14, 588
172.16.112.149/204.71.200.101, 2, 84
172.16.112.194/206.79.171.51, 2, 84
172.16.115.87/207.25.71.145, 4, 168
172.16.112.149/207.46.131.13, 4, 168
172.16.117.103/206.156.142.98, 4, 168
172.16.112.149/187.187.187.187, 4, 168
172.16.114.148/152.163.210.14, 2, 84
172.16.112.149/194.27.251.21, 822, 84628
172.16.112.194/143.158.16.69, 10, 420
172.16.114.169/205.181.112.122, 6, 252
172.16.117.132/207.46.148.249, 70, 19858
202.247.224.89/172.16.112.50, 172, 11289
172.16.113.204/198.30.29.17, 12, 504
172.16.112.207/207.155.76.245, 2, 84
172.16.113.204/187.187.187.187, 6, 252
172.16.114.207/196.227.33.189, 323, 31129
172.16.112.149/209.185.43.224, 2, 84
172.16.113.204/209.38.72.48, 2, 84
172.16.114.148/197.182.91.233, 3282, 1026537
172.16.114.148/197.218.177.69, 3032, 1079050
172.16.117.103/198.3.99.101, 2, 84
172.16.114.168/152.163.210.14, 2, 84
172.16.113.204/205.181.112.65, 2, 84
172.16.113.84/207.240.102.83, 2, 84
172.16.114.168/204.202.136.230, 4, 168
209.1.12.46/172.16.112.50, 178, 11425
172.16.112.194/195.73.151.50, 376, 39852
172.16.116.201/207.168.8.10, 2, 84
153.10.8.174/172.16.114.50, 3389, 154182
172.16.112.194/198.69.192.236, 12, 504
172.16.112.207/209.19.139.185, 12, 504
172.16.112.149/137.245.85.134, 8, 336
172.16.117.103/160.111.25.70, 2, 84
172.16.117.132/207.126.101.188, 2, 84
197.182.91.233/172.16.113.50, 31, 5426
172.16.113.204/209.41.61.94, 2, 84
172.16.113.84/167.8.29.15, 6, 252
172.16.115.234/204.27.201.50, 2, 84
172.16.117.103/130.64.5.2, 6, 252
172.16.117.132/208.235.235.61, 22, 924
172.16.116.201/143.166.224.45, 2, 84
172.16.113.105/207.46.148.249, 4, 168
172.16.115.234/206.111.160.131, 2, 84
172.16.116.44/192.9.24.116, 4, 168
172.16.113.84/207.46.131.13, 6, 252
172.16.116.201/167.8.29.15, 14, 588
172.16.113.105/207.155.180.175, 4, 168
172.16.112.149/167.8.29.15, 2, 84
172.16.113.84/209.12.8.14, 2, 84
172.16.116.44/199.95.74.90, 4, 168
172.16.113.84/197.218.177.69, 2685, 877750
172.16.112.149/152.163.212.173, 2, 84
172.16.112.20/135.13.216.191, 200, 27148
172.16.112.207/197.218.177.69, 3605, 2998993
172.16.115.234/192.9.24.116, 4, 168
172.16.116.201/207.25.71.65, 2, 84
135.13.216.191/172.16.112.50, 111656, 7835122
172.16.115.234/167.8.29.15, 4, 168
192.168.1.10/172.16.114.207, 26, 3510
172.16.112.194/206.64.127.15, 2, 84
172.16.114.148/131.84.1.31, 2, 84
196.37.75.158/172.16.112.149, 535, 54477
196.37.75.158/172.16.112.194, 418, 44392
172.16.116.201/130.64.5.2, 6, 252
172.16.112.149/204.71.177.145, 2, 84
172.16.114.207/131.84.1.31, 26, 1092
197.218.177.69/172.16.113.204, 2806, 1265557
192.168.1.10/172.16.114.50, 301, 33050
172.16.112.149/147.126.240.5, 6, 252
172.16.115.87/207.46.130.14, 6, 252
172.16.114.207/129.53.216.5, 8, 336
172.16.112.149/192.239.92.47, 2, 84
172.16.116.201/208.14.124.223, 2, 84
172.16.116.201/207.12.170.7, 2, 84
172.16.116.201/131.84.1.31, 2, 84
172.16.112.149/207.229.130.121, 6, 252
172.16.112.207/207.240.102.83, 2, 84
172.16.115.234/136.149.142.178, 10, 420
172.16.112.194/128.214.248.6, 2, 84
172.16.113.105/192.168.1.20, 177, 11913
172.16.113.204/206.71.77.228, 16, 672
172.16.115.234/204.27.201.32, 2, 84
172.16.113.105/207.230.90.213, 10, 420
172.16.116.201/166.82.236.10, 6, 252
172.16.115.87/209.1.224.15, 6, 252
172.16.114.169/152.163.210.14, 18, 756
172.16.114.207/210.173.161.135, 8, 336
172.16.112.149/204.71.177.219, 2, 84
172.16.117.103/198.174.169.49, 8, 336
172.16.113.204/198.3.98.160, 4, 168
172.16.116.201/209.49.75.190, 6, 252
172.16.117.103/207.121.188.40, 16, 672
172.16.117.132/207.237.112.46, 2, 84
172.16.117.103/198.3.98.99, 2, 84
172.16.113.84/204.123.2.93, 6, 252
172.16.113.204/62.52.69.77, 2, 84
135.13.216.191/172.16.113.84, 603, 64982
192.168.1.10/172.16.112.50, 388, 25141
172.16.113.204/207.121.187.251, 4, 168
135.8.60.182/172.16.113.50, 26, 2827
172.16.112.149/199.95.74.90, 20, 840
208.239.5.230/172.16.112.50, 174, 11295
172.16.112.207/207.121.187.251, 6, 252
172.16.112.50/194.27.251.21, 989, 69885
197.182.91.233/172.16.114.169, 828, 112852
172.16.114.168/62.52.69.77, 2, 84
172.16.117.111/205.131.175.20, 2, 84
172.16.113.84/207.25.71.25, 20, 840
172.16.116.201/128.197.27.22, 2, 84
172.16.116.201/207.51.123.250, 4, 168
172.16.114.148/204.71.154.30, 6, 252
192.168.1.10/172.16.113.50, 152, 21581
172.16.114.148/207.40.241.101, 6, 252
172.16.112.50/205.160.208.190, 13187, 767159
172.16.113.105/207.240.85.166, 6, 252
172.16.115.234/204.71.177.145, 2, 84
172.16.113.84/199.95.74.94, 4, 168
172.16.117.52/195.188.39.115, 2, 84
172.16.113.105/197.182.91.233, 839, 233162
172.16.117.132/207.121.190.172, 2, 84
172.16.112.194/204.249.164.2, 2, 84
172.16.113.204/143.166.224.32, 2, 84
172.16.117.132/194.235.67.129, 18, 756
172.16.113.84/207.68.156.95, 2, 84
172.16.114.168/139.142.67.44, 4, 168
172.16.112.149/195.115.218.108, 447, 48540
172.16.116.44/207.217.56.197, 6, 252
172.16.112.207/204.123.2.93, 2, 84
172.16.112.50/135.8.60.182, 256, 28527
172.16.115.234/152.163.210.11, 2, 84
172.16.117.132/209.130.5.122, 2, 84
172.16.116.44/205.177.228.202, 2, 84
172.16.115.234/199.107.82.50, 4, 168
172.16.113.105/135.8.60.182, 601, 64750
172.16.117.132/192.111.219.6, 16, 672
172.16.117.52/208.134.245.204, 4, 168
195.115.218.108/172.16.113.204, 525, 55194
172.16.114.207/205.181.112.65, 2, 84
172.16.113.84/208.135.131.22, 4, 168
172.16.114.148/136.149.142.178, 12, 504
172.16.117.103/197.218.177.69, 150, 20436
172.16.117.103/149.111.34.34, 14, 588
135.13.216.191/172.16.114.207, 767, 76667
172.16.116.201/207.68.178.178, 2, 84
172.16.117.103/204.71.177.71, 2, 84
172.16.117.132/192.41.42.200, 2, 84
172.16.113.204/192.188.162.131, 2, 84
172.16.116.201/204.17.42.16, 2, 84
172.16.113.84/207.25.71.65, 20, 840
172.16.113.105/207.25.71.145, 2, 84
172.16.114.168/207.46.131.143, 2, 84
172.16.113.84/208.149.248.2, 4, 168
172.16.114.148/152.163.210.11, 4, 168
172.16.112.194/209.1.112.252, 2, 84
172.16.112.149/207.168.8.10, 2, 84
172.16.113.105/38.176.11.53, 2, 84
172.16.112.149/135.8.60.182, 698, 81717
172.16.113.204/194.7.248.153, 761, 81568
172.16.113.84/207.68.149.20, 10, 420
172.16.113.105/206.243.238.248, 4, 168
172.16.116.44/206.79.171.51, 76, 3192
172.16.113.204/207.46.130.168, 4, 168
172.16.116.44/207.68.178.178, 2, 84
172.16.114.148/208.195.192.200, 2, 84
172.16.114.148/146.132.234.72, 4, 168
172.16.113.204/137.245.85.134, 8, 336
172.16.114.168/192.168.1.20, 193, 12932
172.16.114.168/206.28.149.16, 2, 84
172.16.117.132/209.21.140.120, 2, 84
135.13.216.191/172.16.114.168, 719, 72027
172.16.114.169/135.8.60.182, 391, 38821
172.16.113.204/152.163.210.11, 4, 168
172.16.114.168/206.71.77.228, 20, 840
172.16.113.84/152.163.210.11, 4, 168
172.16.117.52/128.164.127.251, 14, 588
172.16.113.84/152.163.210.14, 2, 84
172.16.113.105/129.65.98.2, 6, 252
172.16.112.194/194.7.248.153, 9918, 2533349
172.16.116.44/198.3.99.101, 4, 168
194.27.251.21/172.16.113.84, 711, 77560
172.16.117.132/204.123.2.66, 10, 420
172.16.112.20/197.182.91.233, 26, 3219
172.16.115.5/207.25.71.145, 4, 168
172.16.117.111/134.205.165.120, 8, 336
172.16.114.207/136.149.142.178, 16, 672
172.16.114.207/139.142.67.44, 4, 168
172.16.116.201/137.245.85.134, 4, 168
172.16.117.132/159.87.93.2, 2, 84
172.16.117.52/193.129.91.7, 2, 84
172.16.117.132/207.46.130.14, 8, 336
172.16.112.207/209.27.46.221, 2, 84
172.16.112.149/207.87.23.34, 2, 84
172.16.113.84/192.254.26.2, 14, 588
172.16.112.207/137.245.85.134, 12, 504
172.16.117.132/209.130.2.129, 2, 84
196.37.75.158/172.16.114.207, 401, 46679
172.16.117.52/187.187.187.187, 4, 168
172.16.117.132/208.19.100.3, 2, 84
172.16.115.87/135.13.216.191, 198, 37830
172.16.117.132/204.71.177.71, 8, 336
172.16.113.105/209.185.162.46, 4, 168
172.16.117.132/62.52.69.80, 8, 336
172.16.115.234/208.138.68.11, 6, 252
172.16.112.207/208.237.178.21, 2, 84
172.16.112.149/204.107.232.38, 12, 504
172.16.116.201/207.55.155.123, 2, 84
172.16.117.132/207.25.71.25, 24, 1008
172.16.113.50/197.218.177.69, 2369, 837967
172.16.113.204/134.205.165.120, 2, 84
196.37.75.158/172.16.114.148, 1379, 329264
172.16.117.52/199.190.75.2, 8, 336
192.168.1.10/172.16.114.169, 52, 7333
172.16.116.201/209.1.224.15, 22, 924
172.16.117.111/204.152.167.20, 2, 84
172.16.112.149/132.183.145.103, 2, 84
195.73.151.50/172.16.113.50, 87, 11363
172.16.116.201/204.152.167.20, 16, 672
194.27.251.21/172.16.114.169, 731, 74907
172.16.114.168/207.51.123.250, 6, 252
195.73.151.50/172.16.113.84, 236, 25439
172.16.113.84/209.178.49.14, 2, 84
197.182.91.233/172.16.112.50, 368, 45068
172.16.113.105/204.71.242.170, 2, 84
196.227.33.189/172.16.113.84, 202, 21340
172.16.113.84/209.19.139.185, 12, 504
172.16.115.234/198.3.99.101, 2, 84
172.16.115.234/207.217.56.197, 6, 252
172.16.114.207/206.132.25.71, 2, 84
172.16.116.201/207.25.71.145, 12, 504
172.16.116.201/205.153.29.195, 2, 84
172.16.116.44/208.237.178.21, 2, 84
172.16.112.207/199.95.74.94, 4, 168
172.16.117.103/207.12.170.7, 2, 84
172.16.116.201/199.35.192.152, 8, 336
195.73.151.50/172.16.114.50, 105, 9255
172.16.112.207/192.220.208.24, 8, 336
172.16.115.234/204.71.177.219, 2, 84
172.16.113.204/204.152.167.20, 6, 252
172.16.113.84/132.183.145.103, 2, 84
172.16.117.132/209.185.42.242, 8, 336
172.16.114.169/194.7.248.153, 477, 46374
172.16.114.168/137.245.85.134, 10, 420
172.16.112.149/197.218.177.69, 3474, 2607397
172.16.112.207/207.46.131.13, 2, 84
172.16.116.201/207.68.156.95, 4, 168
172.16.113.84/204.71.177.164, 2, 84
172.16.112.207/131.158.8.11, 10, 420
196.37.75.158/172.16.114.169, 286, 28586
172.16.117.103/134.152.105.93, 8, 336
172.16.114.168/137.161.42.245, 2, 84
197.182.91.233/172.16.114.50, 439, 47179
172.16.117.103/209.133.94.142, 2, 84
172.16.114.207/207.46.130.14, 6, 252
172.16.112.149/204.162.80.141, 12, 504
172.16.113.204/144.3.144.13, 8, 336
172.16.114.168/135.8.60.182, 635, 62838
172.16.112.194/192.173.9.10, 2, 84
172.16.112.149/209.113.183.114, 2, 84
172.16.113.84/209.44.26.58, 10, 420
172.16.116.44/205.205.225.2, 2, 84
172.16.115.234/167.8.29.123, 2, 84
172.16.114.168/206.28.149.8, 2, 84
172.16.116.44/209.1.224.15, 42, 1764
172.16.114.148/204.71.177.71, 2, 84
172.16.112.207/204.17.42.16, 2, 84
172.16.116.201/206.83.105.134, 4, 168
172.16.117.132/207.240.16.92, 6, 252
172.16.116.44/128.103.180.53, 8, 336
172.16.115.87/194.27.251.21, 88, 12279
196.227.33.189/172.16.113.105, 323, 34132
172.16.114.148/205.228.252.14, 4, 168
172.16.112.207/207.25.71.25, 2, 84
172.16.112.207/205.181.112.122, 2, 84
172.16.112.194/209.21.182.16, 2, 84
172.16.116.201/207.46.130.14, 22, 924
172.16.112.149/206.135.116.3, 4, 168
172.16.116.201/160.147.68.21, 2, 84
194.7.248.153/172.16.114.50, 308, 29538
172.16.117.132/204.250.200.22, 4, 168
