index, number_packets_client_server, number_packets_server_client
172.16.114.207/207.51.123.250, 2, 2
172.16.117.132/204.152.167.20, 3, 3
172.16.113.84/152.163.210.14, 1, 1
172.16.113.84/207.25.71.25, 10, 10
172.16.116.201/131.84.1.31, 1, 1
172.16.117.103/207.12.170.7, 1, 1
172.16.117.103/208.226.198.35, 1, 1
172.16.112.207/207.25.71.145, 4, 4
172.16.112.194/204.123.2.69, 1, 1
172.16.112.194/209.3.171.239, 2, 2
192.168.1.10/172.16.114.148, 95, 96
172.16.114.168/195.73.151.50, 208, 209
172.16.112.149/204.71.191.226, 2, 2
172.16.113.204/137.161.42.245, 1, 1
172.16.112.50/194.27.251.21, 404, 585
172.16.113.84/136.149.142.178, 11, 11
172.16.116.201/207.121.188.40, 4, 4
196.37.75.158/172.16.112.149, 263, 272
172.16.115.5/204.152.167.20, 1, 1
172.16.113.84/208.135.131.22, 2, 2
172.16.117.132/206.16.140.4, 1, 1
172.16.117.52/207.46.130.14, 2, 2
135.8.60.182/172.16.113.50, 13, 13
172.16.117.103/206.71.77.228, 1, 1
172.16.116.201/167.8.29.15, 7, 7
135.13.216.191/172.16.112.194, 327, 331
197.182.91.233/172.16.112.50, 183, 185
172.16.115.87/135.13.216.191, 107, 91
172.16.113.204/196.37.75.158, 244, 242
172.16.112.149/209.85.121.65, 1, 1
172.16.113.84/199.94.100.2, 3, 3
172.16.113.204/205.181.112.65, 1, 1
172.16.116.201/208.16.88.11, 1, 1
172.16.112.194/209.185.74.183, 1, 1
192.168.1.10/172.16.113.105, 55, 53
194.7.248.153/172.16.113.50, 119, 130
172.16.112.149/204.152.167.20, 4, 4
172.16.112.20/195.115.218.108, 133, 135
172.16.116.44/209.1.224.15, 21, 21
172.16.112.207/137.245.85.134, 6, 6
172.16.112.149/38.249.212.12, 1, 1
172.16.112.149/204.71.177.71, 12, 12
172.16.114.50/195.115.218.108, 122, 117
135.13.216.191/172.16.114.207, 384, 383
172.16.117.132/207.46.148.249, 33, 37
172.16.112.207/206.83.105.134, 2, 2
172.16.113.84/198.3.98.99, 1, 1
172.16.117.52/187.187.187.187, 2, 2
172.16.117.132/152.163.210.14, 1, 1
172.16.112.194/131.225.68.3, 2, 2
172.16.117.111/204.152.167.20, 1, 1
172.16.112.149/209.1.224.15, 7, 7
172.16.113.204/198.3.99.120, 10, 10
172.16.117.132/192.151.52.13, 6, 6
172.16.114.169/194.7.248.153, 241, 236
172.16.113.204/205.131.175.5, 1, 1
128.223.199.68/172.16.112.50, 86, 85
172.16.113.204/206.28.149.16, 2, 2
172.16.116.201/209.67.19.194, 1, 1
172.16.114.168/192.168.1.20, 70, 123
172.16.116.201/128.231.164.4, 1, 1
172.16.116.44/204.123.2.66, 2, 2
206.48.44.18/172.16.112.50, 89, 85
172.16.113.84/204.123.2.66, 3, 3
172.16.116.201/205.153.29.195, 1, 1
172.16.112.207/208.158.201.3, 1, 1
153.10.8.174/172.16.114.50, 2203, 1186
172.16.117.103/198.174.169.49, 4, 4
172.16.114.168/206.79.171.51, 6, 6
172.16.112.207/152.163.210.11, 1, 1
135.8.60.182/172.16.114.148, 1470, 3235
172.16.117.52/208.134.245.204, 2, 2
172.16.117.103/160.111.100.65, 1, 1
195.115.218.108/172.16.112.50, 102, 101
172.16.113.204/187.187.187.187, 3, 3
172.16.112.207/209.19.139.185, 6, 6
172.16.113.84/152.163.210.11, 2, 2
172.16.113.204/207.170.100.29, 1, 1
172.16.117.132/209.1.206.11, 8, 8
172.16.117.132/209.130.5.122, 1, 1
195.115.218.108/172.16.116.194, 83, 77
172.16.117.132/209.130.2.129, 1, 1
172.16.112.194/152.163.210.11, 1, 1
172.16.116.44/192.9.24.116, 2, 2
172.16.117.52/192.208.46.158, 1, 1
172.16.112.194/209.21.182.16, 1, 1
172.16.116.194/207.25.71.25, 4, 4
135.13.216.191/172.16.115.5, 52, 47
172.16.113.84/207.240.102.83, 1, 1
172.16.115.234/207.87.25.48, 1, 1
172.16.113.105/38.176.11.53, 1, 1
195.115.218.108/172.16.112.207, 305, 308
194.27.251.21/172.16.113.204, 327, 333
172.16.114.207/136.149.142.85, 1, 1
172.16.114.148/207.40.241.101, 3, 3
206.229.221.82/172.16.112.50, 172, 170
172.16.113.84/204.144.184.20, 1, 1
172.16.116.201/207.168.8.10, 1, 1
205.231.28.163/172.16.112.50, 87, 85
172.16.117.132/206.39.184.2, 1, 1
172.16.115.234/204.71.177.145, 1, 1
172.16.112.149/152.163.212.173, 1, 1
172.16.113.84/207.25.71.65, 10, 10
172.16.115.234/206.111.160.131, 1, 1
172.16.114.148/197.182.91.233, 1893, 1389
172.16.112.149/204.71.177.219, 1, 1
172.16.114.148/195.115.218.108, 728, 562
172.16.112.194/196.227.33.189, 417, 420
172.16.114.148/208.195.192.200, 1, 1
172.16.113.204/206.79.171.51, 7, 7
172.16.113.105/207.155.180.175, 2, 2
196.37.75.158/172.16.112.194, 208, 210
172.16.113.204/196.227.33.189, 214, 208
172.16.114.169/152.163.210.11, 2, 2
172.16.113.204/206.28.149.8, 1, 1
172.16.114.207/197.218.177.69, 594, 704
172.16.113.204/206.71.77.228, 8, 8
172.16.112.149/147.126.240.5, 3, 3
192.168.1.10/172.16.113.50, 83, 69
172.16.115.87/195.115.218.108, 46, 49
172.16.115.234/204.71.191.33, 1, 1
172.16.114.207/136.149.142.178, 8, 8
172.16.116.201/204.62.245.75, 1, 1
172.16.114.207/143.89.53.151, 1, 1
172.16.112.194/198.69.192.236, 6, 6
172.16.115.87/136.149.142.178, 2, 2
172.16.113.204/198.3.98.160, 2, 2
172.16.117.52/152.163.210.11, 1, 1
172.16.116.201/198.3.99.101, 2, 2
172.16.117.103/149.111.34.35, 1, 1
172.16.112.149/206.135.116.3, 2, 2
172.16.112.194/209.113.183.114, 1, 1
172.16.112.149/206.79.171.51, 10, 10
172.16.117.103/209.185.106.215, 2, 2
172.16.113.105/135.13.216.191, 382, 370
172.16.114.207/210.173.161.139, 2, 2
194.27.251.21/172.16.114.168, 391, 400
172.16.116.201/204.71.177.71, 1, 1
194.27.251.21/172.16.113.84, 353, 358
172.16.116.201/207.12.170.7, 1, 1
192.168.1.10/172.16.114.50, 148, 153
172.16.113.204/209.1.112.252, 1, 1
197.182.91.233/172.16.113.50, 17, 14
172.16.117.52/152.163.210.14, 1, 1
172.16.113.84/205.140.147.87, 2, 2
172.16.117.132/38.176.11.53, 1, 1
172.16.113.105/192.68.44.135, 1, 1
172.16.115.234/205.216.163.83, 1, 1
172.16.114.50/196.227.33.189, 139, 128
172.16.113.204/204.89.144.15, 1, 1
172.16.114.207/206.28.149.8, 1, 1
172.16.115.234/167.8.29.123, 1, 1
192.168.1.20/192.168.1.10, 5, 4
172.16.114.169/196.227.33.189, 283, 281
192.168.1.10/172.16.112.194, 56, 56
172.16.117.132/207.237.112.46, 1, 1
135.13.216.191/172.16.113.204, 446, 458
172.16.113.204/207.25.71.25, 3, 3
172.16.117.103/206.156.142.98, 2, 2
172.16.112.207/209.67.19.98, 1, 1
172.16.115.234/134.205.165.120, 1, 1
172.16.114.207/204.202.136.230, 2, 2
172.16.112.194/195.11.138.58, 2, 2
172.16.116.201/207.51.123.250, 2, 2
172.16.113.204/143.101.250.20, 9, 9
172.16.117.132/207.46.130.14, 4, 4
172.16.116.201/208.14.124.223, 1, 1
172.16.117.111/197.182.91.233, 8, 10
192.168.1.10/172.16.112.50, 222, 166
172.16.112.149/160.147.68.21, 1, 1
172.16.112.194/192.111.228.12, 1, 1
172.16.115.234/204.162.96.34, 4, 4
172.16.112.194/207.25.71.141, 1, 1
172.16.113.204/12.3.191.20, 7, 7
172.16.113.84/205.169.236.247, 2, 2
172.16.117.103/197.218.177.69, 74, 76
172.16.117.52/199.190.75.2, 4, 4
172.16.112.207/204.123.2.66, 1, 1
172.16.113.105/206.184.139.14, 1, 1
153.107.252.61/172.16.112.50, 173, 170
172.16.113.105/206.79.171.51, 4, 4
172.16.117.132/196.37.75.158, 62, 74
172.16.112.149/135.8.60.182, 357, 341
172.16.115.87/205.131.175.20, 1, 1
172.16.114.168/207.51.123.250, 3, 3
172.16.117.103/204.62.245.75, 1, 1
172.16.117.103/134.152.105.93, 4, 4
172.16.113.204/207.46.131.13, 1, 1
172.16.113.204/196.3.140.2, 3, 3
172.16.113.84/209.27.46.221, 1, 1
172.16.113.84/134.205.165.120, 9, 9
172.16.114.207/167.8.29.15, 2, 2
172.16.114.207/204.123.2.66, 2, 2
172.16.116.44/192.102.198.18, 1, 1
172.16.112.149/135.13.216.191, 388, 378
172.16.112.207/206.132.25.71, 3, 3
172.16.117.132/159.87.93.2, 1, 1
172.16.113.105/207.25.71.25, 2, 2
172.16.117.103/187.187.187.187, 2, 2
172.16.113.204/209.67.19.98, 1, 1
172.16.114.207/206.71.77.228, 8, 8
172.16.112.149/204.71.177.145, 1, 1
172.16.115.234/192.41.14.213, 2, 2
172.16.116.201/204.17.42.16, 1, 1
172.16.116.44/207.25.71.145, 2, 2
172.16.113.204/207.46.131.143, 1, 1
172.16.117.132/207.126.101.188, 1, 1
172.16.113.84/38.249.212.12, 2, 2
172.16.114.148/206.222.66.47, 1, 1
172.16.112.207/131.158.8.11, 5, 5
172.16.113.204/152.163.210.11, 2, 2
172.16.117.103/206.79.229.16, 5, 5
172.16.112.207/204.146.18.33, 2, 2
172.16.112.207/197.218.177.69, 981, 2624
172.16.114.207/210.173.161.135, 4, 4
172.16.112.194/207.139.107.12, 1, 1
172.16.114.168/137.161.42.245, 1, 1
172.16.112.194/192.173.9.10, 1, 1
172.16.116.201/143.166.224.31, 1, 1
172.16.112.194/206.15.73.106, 3, 3
172.16.116.201/130.64.5.2, 3, 3
172.16.113.105/194.150.11.10, 1, 1
172.16.112.50/194.7.248.153, 866, 1550
172.16.116.201/207.25.71.145, 6, 6
172.16.112.149/206.119.148.88, 1, 1
172.16.112.149/204.123.2.66, 2, 2
172.16.112.194/198.11.57.76, 1, 1
172.16.114.148/158.136.73.164, 5, 5
172.16.114.148/146.132.234.72, 2, 2
172.16.112.149/132.183.145.103, 1, 1
172.16.117.132/207.25.71.25, 12, 12
172.16.113.204/143.166.224.32, 1, 1
172.16.113.84/207.46.131.13, 3, 3
172.16.116.44/134.177.3.28, 1, 1
172.16.116.201/207.200.74.28, 1, 1
172.16.113.84/131.158.8.11, 5, 5
172.16.116.201/207.55.155.123, 1, 1
172.16.116.201/207.46.130.14, 11, 11
172.16.113.84/205.140.147.94, 3, 3
172.16.116.201/208.237.178.21, 1, 1
172.16.117.103/207.25.71.145, 5, 5
194.7.248.153/172.16.112.207, 245, 256
192.168.1.10/172.16.113.204, 16, 14
172.16.112.194/207.46.148.249, 2, 2
172.16.112.149/207.168.8.10, 1, 1
172.16.114.168/206.135.140.28, 2, 2
172.16.112.149/207.229.130.121, 3, 3
172.16.116.44/152.163.210.11, 3, 3
194.7.248.153/172.16.114.168, 178, 180
172.16.114.207/207.46.131.143, 1, 1
172.16.115.234/199.107.82.50, 2, 2
172.16.112.194/206.64.127.15, 1, 1
172.16.116.44/205.181.112.114, 1, 1
172.16.113.204/207.25.71.145, 2, 2
172.16.117.132/206.79.171.51, 4, 4
207.136.86.223/172.16.112.50, 89, 85
172.16.113.105/192.168.1.20, 65, 112
172.16.113.204/205.198.116.30, 2, 2
172.16.113.84/209.19.139.185, 6, 6
172.16.117.103/128.32.109.245, 3, 3
172.16.117.52/134.177.3.28, 1, 1
172.16.117.103/204.152.167.20, 2, 2
172.16.113.204/137.245.85.134, 4, 4
172.16.113.84/207.46.130.14, 6, 6
172.16.114.207/194.7.248.153, 144, 140
172.16.115.234/204.162.243.57, 2, 2
172.16.114.148/197.218.177.69, 1460, 1572
172.16.112.207/192.220.208.24, 4, 4
172.16.115.234/204.119.128.147, 1, 1
207.230.54.203/172.16.114.50, 230, 133
172.16.116.44/207.46.148.249, 19, 19
172.16.114.168/209.1.112.252, 3, 3
195.73.151.50/172.16.113.50, 45, 42
172.16.116.201/205.181.112.65, 3, 3
172.16.113.204/207.121.187.251, 2, 2
196.37.75.158/172.16.113.50, 43, 40
172.16.113.84/205.181.112.122, 1, 1
172.16.117.52/140.90.6.254, 1, 1
172.16.113.84/209.12.8.14, 1, 1
196.37.75.158/172.16.114.207, 199, 202
172.16.113.204/205.181.112.68, 1, 1
172.16.112.149/166.84.59.23, 1, 1
172.16.114.169/152.163.210.14, 9, 9
172.16.117.132/192.111.219.6, 8, 8
172.16.113.204/136.149.142.178, 2, 2
172.16.117.132/207.159.129.101, 3, 3
172.16.112.194/194.7.248.153, 4895, 5023
172.16.112.194/209.133.35.167, 2, 2
172.16.117.132/62.52.69.103, 3, 3
172.16.115.234/198.3.99.101, 1, 1
172.16.113.84/137.245.85.134, 2, 2
172.16.113.204/62.52.69.77, 1, 1
172.16.116.44/207.217.56.197, 3, 3
196.227.33.189/192.168.1.20, 63, 224
172.16.117.103/198.3.99.199, 1, 1
172.16.115.87/134.205.165.120, 4, 4
172.16.116.201/205.131.175.20, 1, 1
172.16.117.111/209.1.224.15, 4, 4
172.16.114.148/194.27.251.21, 1252, 955
172.16.113.84/206.64.127.143, 1, 1
172.16.117.103/209.133.94.142, 1, 1
172.16.114.168/206.28.149.8, 1, 1
195.73.151.50/172.16.112.50, 208, 211
172.16.114.168/192.5.41.239, 38, 37
172.16.116.44/136.149.142.178, 4, 4
172.16.115.234/129.105.213.70, 1, 1
172.16.117.103/207.121.188.40, 8, 8
172.16.116.201/207.25.71.65, 1, 1
172.16.113.105/206.216.18.35, 8, 8
172.16.114.148/131.84.1.31, 1, 1
172.16.113.204/192.220.208.24, 4, 4
152.204.242.193/172.16.112.50, 86, 85
172.16.117.111/207.25.71.25, 6, 6
172.16.113.84/204.123.2.93, 3, 3
172.16.116.201/197.218.177.69, 199, 174
172.16.117.103/206.132.25.71, 6, 6
172.16.112.149/204.71.177.135, 1, 1
172.16.116.44/192.41.14.213, 3, 3
196.227.33.189/172.16.112.207, 216, 213
172.16.113.84/207.25.71.145, 4, 4
172.16.114.168/207.46.131.143, 1, 1
172.16.113.105/207.240.85.166, 3, 3
172.16.117.132/194.27.251.21, 97, 89
172.16.116.201/207.68.178.178, 1, 1
172.16.112.149/203.120.90.66, 1, 1
172.16.116.44/205.205.225.2, 1, 1
172.16.116.44/206.79.171.51, 38, 38
172.16.112.149/204.153.205.97, 2, 2
172.16.112.207/207.68.178.178, 1, 1
172.16.113.204/207.51.123.250, 2, 2
172.16.113.84/131.84.1.31, 9, 9
206.229.221.82/172.16.113.50, 1399, 792
172.16.117.52/195.188.39.115, 1, 1
172.16.113.105/207.25.71.145, 1, 1
172.16.112.194/143.158.16.69, 5, 5
172.16.115.234/199.1.13.20, 1, 1
172.16.113.204/207.200.74.28, 1, 1
172.16.112.194/205.231.144.248, 1, 1
172.16.113.84/204.71.177.71, 8, 8
172.16.112.207/196.3.140.2, 2, 2
172.16.117.132/207.68.156.95, 2, 2
172.16.117.111/167.8.29.15, 1, 1
172.16.112.207/204.162.80.182, 2, 2
172.16.112.207/205.177.228.202, 1, 1
172.16.112.194/209.1.112.252, 1, 1
192.168.1.10/172.16.113.84, 122, 121
172.16.116.201/205.181.112.122, 1, 1
172.16.115.234/135.13.216.191, 61, 63
172.16.113.204/204.152.167.20, 3, 3
172.16.112.207/207.46.148.249, 3, 3
172.16.116.44/209.130.54.80, 2, 2
172.16.112.194/204.253.162.4, 1, 1
172.16.113.105/135.8.60.182, 300, 301
172.16.114.207/205.177.58.116, 4, 4
172.16.113.84/206.132.25.71, 6, 6
172.16.112.50/135.8.60.182, 130, 126
192.168.1.10/172.16.114.207, 13, 13
172.16.112.207/132.60.26.15, 1, 1
172.16.114.207/152.163.210.11, 1, 1
172.16.114.207/62.52.69.77, 1, 1
172.16.112.207/207.37.250.41, 1, 1
172.16.114.207/139.142.67.44, 2, 2
172.16.112.194/206.79.171.51, 1, 1
172.16.114.207/199.95.74.90, 4, 4
172.16.115.234/204.71.177.71, 1, 1
135.13.216.191/172.16.113.84, 299, 304
194.27.251.21/172.16.113.50, 13, 13
172.16.112.207/196.37.75.158, 266, 258
172.16.112.149/204.71.242.233, 1, 1
172.16.113.84/209.178.49.14, 1, 1
172.16.117.103/134.205.165.120, 8, 8
172.16.117.103/205.181.211.160, 1, 1
172.16.112.207/207.46.131.13, 1, 1
172.16.115.234/128.103.180.53, 5, 5
172.16.112.149/207.87.23.34, 1, 1
172.16.115.234/208.138.68.11, 3, 3
172.16.113.84/132.60.26.15, 1, 1
172.16.113.84/192.239.92.47, 1, 1
172.16.113.84/199.95.74.94, 2, 2
172.16.115.234/152.163.210.11, 1, 1
172.16.112.207/12.3.191.20, 7, 7
196.37.75.158/172.16.113.84, 252, 253
172.16.112.149/192.239.92.203, 1, 1
196.37.75.158/172.16.114.169, 143, 143
172.16.112.207/209.44.26.58, 5, 5
172.16.112.149/134.205.131.29, 1, 1
197.182.91.233/172.16.117.103, 106, 112
197.182.91.233/172.16.112.207, 238, 239
172.16.114.148/192.239.92.66, 2, 2
172.16.112.149/204.123.9.97, 2, 2
172.16.116.44/204.71.191.33, 1, 1
172.16.113.204/144.3.144.13, 4, 4
172.16.115.234/134.205.131.29, 1, 1
206.222.3.197/172.16.112.50, 87, 86
172.16.114.148/204.71.154.30, 3, 3
172.16.117.132/204.250.200.22, 2, 2
172.16.112.149/204.71.200.242, 1, 1
172.16.115.234/199.95.74.90, 7, 7
172.16.112.207/199.94.242.15, 3, 3
172.16.112.20/196.37.75.158, 51, 51
172.16.112.194/195.188.218.116, 2, 2
172.16.112.149/205.148.64.83, 3, 3
194.7.248.153/172.16.114.148, 863, 1229
172.16.113.105/207.46.148.249, 2, 2
172.16.112.149/209.185.43.224, 1, 1
172.16.117.132/194.235.67.129, 9, 9
194.27.251.21/172.16.114.207, 267, 270
172.16.117.103/130.64.5.2, 3, 3
196.227.33.189/172.16.114.168, 124, 124
172.16.112.149/194.7.248.153, 372, 362
172.16.116.201/195.115.218.108, 44, 51
172.16.115.234/205.205.225.2, 1, 1
135.13.216.191/172.16.114.50, 284, 313
172.16.112.194/205.162.100.15, 1, 1
172.16.117.132/206.154.102.105, 1, 1
194.27.251.21/172.16.114.169, 360, 371
172.16.117.132/206.81.247.141, 1, 1
172.16.116.201/160.111.100.65, 1, 1
172.16.114.207/144.3.144.13, 3, 3
172.16.113.204/139.142.67.44, 2, 2
172.16.117.132/204.250.200.20, 2, 2
172.16.112.207/209.27.46.221, 1, 1
135.13.216.191/172.16.114.148, 1107, 2610
172.16.117.103/209.1.112.251, 3, 3
172.16.114.169/205.181.112.68, 1, 1
172.16.112.207/207.68.156.95, 1, 1
196.227.33.189/172.16.112.149, 297, 303
172.16.112.149/208.223.142.33, 1, 1
172.16.114.169/205.181.112.65, 5, 5
172.16.112.194/136.149.142.178, 3, 3
172.16.114.207/206.79.171.51, 6, 6
172.16.113.204/131.15.144.55, 4, 4
172.16.112.194/204.71.177.71, 1, 1
195.73.151.50/172.16.114.169, 213, 213
172.16.112.149/192.239.92.47, 1, 1
172.16.117.103/149.111.34.34, 7, 7
172.16.112.149/207.25.71.145, 3, 3
172.16.116.201/152.175.34.64, 11, 11
172.16.112.149/152.163.210.11, 2, 2
172.16.112.207/187.187.187.187, 1, 1
202.72.1.77/172.16.112.50, 83, 85
172.16.112.149/204.123.2.93, 2, 2
172.16.117.132/204.123.2.93, 1, 1
172.16.113.84/187.187.187.187, 5, 5
172.16.113.204/204.146.28.55, 1, 1
172.16.116.44/204.152.167.20, 6, 6
172.16.117.132/207.33.146.20, 5, 5
172.16.116.44/209.22.99.13, 13, 13
172.16.112.194/137.138.131.253, 5, 5
172.16.113.204/195.73.151.50, 253, 249
172.16.114.207/207.46.130.14, 3, 3
172.16.117.52/206.79.31.15, 3, 3
172.16.114.50/197.218.177.69, 354, 529
172.16.116.201/199.35.192.152, 4, 4
172.16.114.50/135.8.60.182, 239, 218
172.16.115.87/194.27.251.21, 42, 46
195.115.218.108/172.16.113.50, 42, 40
172.16.112.207/204.17.42.16, 1, 1
172.16.116.201/134.152.180.104, 1, 1
172.16.112.207/204.152.167.20, 1, 1
135.13.216.191/172.16.112.207, 378, 391
209.1.12.46/172.16.112.50, 93, 85
172.16.113.84/209.1.112.251, 1, 1
172.16.113.84/209.197.81.175, 1, 1
135.8.60.182/172.16.113.84, 408, 408
172.16.113.204/207.46.130.168, 2, 2
172.16.115.234/209.130.54.80, 2, 2
208.239.5.230/172.16.112.50, 89, 85
172.16.113.105/199.217.151.41, 2, 2
172.16.117.52/204.123.2.66, 2, 2
172.16.113.84/192.168.1.20, 318, 552
172.16.117.103/209.49.75.190, 3, 3
172.16.116.201/198.3.230.11, 1, 1
172.16.113.105/129.65.98.2, 3, 3
172.16.114.168/137.245.85.134, 5, 5
172.16.112.194/131.6.187.206, 1, 1
172.16.112.149/167.8.29.15, 1, 1
172.16.113.105/207.158.238.25, 4, 4
196.227.33.189/172.16.114.148, 1038, 2477
172.16.112.194/209.5.56.2, 5, 5
172.16.112.207/207.170.100.29, 1, 1
172.16.116.201/206.39.184.2, 2, 2
172.16.114.168/204.146.28.55, 1, 1
172.16.112.149/187.187.187.187, 2, 2
172.16.114.207/207.68.156.95, 1, 1
194.7.248.153/172.16.114.50, 153, 155
172.16.114.168/204.202.136.230, 2, 2
172.16.112.149/204.107.232.38, 6, 6
172.16.115.234/134.177.3.28, 1, 1
195.73.151.50/172.16.114.207, 101, 105
172.16.113.84/209.132.20.116, 1, 1
172.16.116.201/160.111.25.70, 1, 1
209.117.157.183/172.16.112.50, 86, 85
195.115.218.108/172.16.114.169, 269, 271
172.16.112.194/204.249.164.2, 1, 1
172.16.112.149/204.71.177.164, 1, 1
197.182.91.233/172.16.112.149, 338, 336
172.16.115.87/207.46.130.14, 3, 3
172.16.117.103/152.163.210.11, 1, 1
172.16.113.84/167.8.29.15, 3, 3
172.16.113.84/209.100.145.3, 2, 2
172.16.114.168/207.25.71.145, 2, 2
172.16.113.204/129.53.216.5, 4, 4
172.16.112.149/167.8.29.16, 1, 1
172.16.114.148/152.163.210.11, 2, 2
172.16.116.201/207.170.100.29, 6, 6
172.16.117.132/38.182.95.6, 1, 1
172.16.116.201/204.97.16.3, 5, 5
172.16.117.132/207.121.187.121, 1, 1
195.73.151.50/172.16.114.148, 603, 707
172.16.114.148/205.131.175.2, 1, 1
172.16.113.84/207.155.76.245, 1, 1
172.16.113.105/131.84.1.68, 1, 1
172.16.117.132/204.62.133.193, 1, 1
172.16.115.234/208.202.26.211, 3, 3
172.16.117.111/205.131.175.20, 1, 1
135.13.216.191/172.16.114.168, 359, 360
172.16.113.204/206.160.225.18, 3, 3
172.16.117.132/192.9.24.116, 3, 3
194.27.251.21/172.16.114.50, 153, 160
172.16.114.207/205.181.112.65, 1, 1
172.16.112.194/135.8.60.182, 355, 359
172.16.114.207/206.135.140.28, 2, 2
172.16.115.87/207.68.156.95, 1, 1
172.16.115.234/204.27.201.32, 1, 1
172.16.117.132/207.25.71.65, 1, 1
172.16.116.201/206.184.238.129, 1, 1
172.16.116.201/137.245.85.134, 2, 2
172.16.113.84/131.84.1.68, 1, 1
196.227.33.189/172.16.113.105, 160, 163
172.16.116.201/199.35.192.185, 1, 1
172.16.114.168/196.37.75.158, 313, 308
172.16.113.105/209.185.162.46, 2, 2
172.16.116.201/204.152.167.20, 8, 8
172.16.117.132/152.163.210.11, 2, 2
172.16.113.105/195.73.151.50, 363, 361
172.16.113.84/207.46.148.249, 2, 2
172.16.112.20/197.182.91.233, 13, 13
172.16.116.201/207.121.187.155, 1, 1
172.16.117.52/207.25.71.141, 2, 2
172.16.115.234/167.8.29.16, 1, 1
195.73.151.50/172.16.112.207, 126, 128
209.30.71.165/172.16.112.50, 87, 85
172.16.113.84/132.183.145.103, 1, 1
172.16.113.105/204.162.96.34, 3, 3
195.73.151.50/172.16.113.84, 119, 117
172.16.117.132/205.181.112.65, 1, 1
172.16.115.234/207.217.56.197, 3, 3
172.16.113.204/206.243.176.168, 1, 1
172.16.114.169/207.25.71.25, 3, 3
172.16.112.194/131.84.1.31, 10, 10
